STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
24101,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Lower-middle,Somalia,Yes,Bachelor degree,Bachelor degree
24102,NORTH-EASTERN VICTORIA,Metropolitan,Government,Whitehorse,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24103,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,M,VCE non-VET,Lowest,Australia,No,Certificates/diplomas,Certificates/diplomas
24104,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE non-VET,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
24105,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Baw Baw,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24106,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,M,VCE non-VET,Lowest,Australia,No,Certificates/diplomas,Certificates/diplomas
24107,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE non-VET,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
24108,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,M,VCAL only,Lower-middle,Lebanon,Yes,Certificates/diplomas,Certificates/diplomas
24109,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Melton,F,VCE non-VET,Lowest,Australia,No,Bachelor degree,Bachelor degree
24110,NORTH-EASTERN VICTORIA,Metropolitan,Government,Boroondara,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24111,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24112,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Horsham,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24113,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24114,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Wyndham,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24115,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24116,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24117,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Wangaratta,F,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24118,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24119,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Horsham,M,VCE non-VET,Lower-middle,Canada,No,Bachelor degree,Bachelor degree
24120,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,IB,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24121,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle,Indonesia,No,Bachelor degree,Bachelor degree
24122,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,M,VCE non-VET,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24123,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melton,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24124,NORTH-EASTERN VICTORIA,Metropolitan,Government,Monash,M,VCE non-VET,Highest,"Korea, Republic of (South)",Yes,Bachelor degree,Bachelor degree
24125,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24126,NORTH-EASTERN VICTORIA,Metropolitan,Government,Monash,M,VCE non-VET,Highest,Sri Lanka,Yes,Bachelor degree,Bachelor degree
24127,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Hobsons Bay,F,VCE non-VET,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
