,Name,Services provided,Cost ($) ex GST 
195,CORRS CHAMBERS WESTGARTH SOLICITORS,Professional Services,404198
196,COSTAS CREATIVE MEDIA,"Publishing, Printing, Promotions and Communications or Marketing Services",409
197,COTSWOLD BUSINESS SOLUTIONS PTY LTD ATF P + A VALENTINE FAMILY TRUST,Professional Services,2700
198,COUNSELLING APPRAISAL CONSULTANTS PTY LTD,Professional Services,1706
199,COUNTRY EDUCATION PROJECT INC,Education Services,9750
200,COURT TRANSCRIPT SERVICES PTY LTD,Professional Services,2163
201,CPSE PTY LTD,Professional Services,3776
202,CREATE FOUNDATION LIMITED,Education and Community Development Services,172
203,CREATIVE HAT INTERPRETATION,Professional Services,12450
204,CRISIS COUNSELLING SERVICES,Professional Services,21367
205,CROWN COACHES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",514
206,CROWN LTD,"Accommodation, Event, Functions and Conference",11536
207,CTP ENTERPRISES PTY LTD,Professional Services,124000
208,CTS ELECTRICAL AND AUTOMATION SERVICES,IT Services,9574
209,CUBE COMPANY PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",5500
210,CULTURAL PRODUCTION PTY LTD,Professional Services,13814
211,CUNNINGHAM PIER PTY LTD,Professional Services,2611
212,CVGT AUSTRALIA LIMITED,HR Services,175297
213,D AND D TAXATION CONSULTING PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",27025
214,D R WILSON CONSULTANTS,Professional Services,16855
215,DAINVILLE PTY LTD,Professional Services,1200
216,DANDOLO PARTNERS PTY LTD,"Professional Services (Research, Leadership and Professional Development)",749347
217,DANIEL STEFYN IT SERVICES,IT Services,16887
218,DARGLE CONSULTING PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",173636
219,DAVID BROOKS CONSULTING PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",41400
220,DAVID WILKINS AND ASSOCIATES,Professional Services,1200
221,DAVIS LANGDON AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",109825
222,DB RESULTS PTY LTD,IT Project Management Services,36575
223,DEAKIN UNIVERSITY,Education and Community Development Services,249539
224,DEEPEND MELBOURNE PTY LTD,IT Services,11840
225,DELOITTE ACCESS ECONOMICS,"Professional Services (Research, Leadership and Professional Development)",494741
226,DELOITTE TOUCHE TOHMATSU,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",1926810
227,DENCH MCCLEAN CARLSON PTY LTD,Professional Services,36185
228,DENIS MULLER AND ASSOCIATES,Professional Services,7150
229,DERWENT EXECUTIVE MELBOURNE PTY LTD,Recruitment Services,165975
230,DESIGN CORE ARCHITECTS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",44842
231,DETAIL DEPARTMENT PTY LTD,IT Services,27000
232,DIALOG INFORMATION TECHNOLOGY,IT Services,49456
233,DIMENSION DATA AUSTRALIA PTY LIMITED,IT Project Management Services,311290
234,DIRECT WATER CARTAGE,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",480
235,DIRECTIONEERING VICTORIA UNIT TRUST,Professional Services,18000
236,DIVERSE APPLIANCE SERVICE PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",5682
237,DIXON APPOINTMENTS PTY LTD,Contract Staff (Whole-of-Government State Purchase Contract),94519
238,DJA DJA WURRUNG CLANS ABORIGINAL CORPORATION,Education and Community Development Services,650
239,DJERRIWARRH EMPLOYMENT AND EDUCATION SERVICES,Education and Community Development Services,58
240,DK2 PTY LTD,Education Services,110694
241,DL SOLUTIONS AND SERVICES P/L,IT Services,35183
242,DLA PIPER,Professional Services,10668
243,DMAC DIRECTIONS,Professional Services,46800
244,DMC WEB PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",3124
245,DR VINCENT CLARK + ASSOCIATES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",27951
246,DRIFT MEDIA,"Publishing, Printing, Promotions and Communications or Marketing Services",15995
247,DTZ PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1370585
248,DWS ADVANCED BUSINESS SOLUTIONS,IT Project Management Services,71760
249,DYNA IT PTY LTD,IT Services,125191
250,DYNAMIC EQUILIBRIUM PTY LTD,IT Services,50505
251,E GOERS + J K MAUNDER,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",37903
252,EACH,Education and Community Development Services,2603
253,EARLY CHILDHOOD AUSTRALIA,"Publishing, Printing, Promotions and Communications or Marketing Services",75124
254,EARLY CHILDHOOD AUSTRALIA - VICTORIAN BRANCH,"Professional Services (Research, Leadership and Professional Development)",1035588
255,EARLY CHILDHOOD HUB,Education Services,4680
256,EAWARDS,IT Services,5102
257,ECO HARVEST,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",5800
258,ECO LIQUID WASTE PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",39040
259,ECOWISE AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",275
260,EDASSIST,Education Services,74825
261,EDBIZ PTY LTD,Professional Services,27150
262,EDITURE TECHNOLOGY PTY LTD T/A NEW ERA,IT Project Management Services,117619
263,EDMATH CURRICULUM SERVICES PTY LTD,Education Services,2683
264,EDPARTNERSHIPS INTERNATIONAL,Education Services,1106189
265,EDU GEEKS,IT Services,4134
266,EDU21C FOUNDATION,Education Services,2479
267,EDUBLOGS,Professional Services,4000
268,EDUCATION CHANGEMAKERS PTY LTD,Education Services,157245
269,EDUCATION ENDOWMENT FOUNDATION,Education Services,346600
